Track Number,Velocity [µm/min]
1,0.150
2,0.130
3,0.030
4,0.850
5,0.360
6,0.200
7,0.090
8,0.420
9,0.030
10,1.080
11,0.630
12,0.980
13,0.010
14,0.370
15,0.940
16,0.110
17,0.170
18,0.460
19,0.960
20,0.850
21,0.460
22,0.380
23,0.220
