Track Number,Accumulated distance [µm],Euclidean distance [µm]
1,162.540,71.100
2,94.760,3.260
3,324.970,60.730
4,72.200,14.600
5,37.950,2.550
6,270.500,21.740
7,121.460,24.410
8,82.610,17.450
9,219.380,38.590
10,214.290,67.800
11,276.860,83.550
12,146.080,71.460
13,327.890,71.530
14,140.400,84.250
15,176.260,85.300
16,121.440,50.560
17,263.300,56.260
18,112.760,12.760
19,245.060,36.930
20,35.990,12.080
21,112.720,31.770
22,332.750,92.480
23,56.510,6.030
24,245.900,69.580
25,108.330,20.400
26,433.780,128.650
27,290.220,134.150
28,328.200,102.150
29,90.360,57.040
30,102.600,43.060
31,168.910,17.920
32,305.610,97.490
33,221.580,80.280
34,303.090,60.180
35,17.220,6.180
36,148.890,23.790
37,182.670,39.040
38,61.720,42.220
39,107.600,34.690
40,193.200,71.520
41,157.230,33.790
42,247.040,127.930
43,48.370,12.650
44,155.660,15.230
45,175.720,29.000
46,70.120,4.800
47,98.930,43.340
48,176.270,6.110
49,106.840,22.470
50,7.150,0.340
51,55.180,2.810
52,147.760,4.810
53,64.240,35.640
54,145.710,8.980
55,281.380,65.940
56,293.510,26.430
57,59.330,12.750
58,24.320,2.740
59,14.880,1.490
60,323.390,70.770
61,230.380,67.900
62,48.080,3.030
63,91.520,2.760
64,140.820,6.330
65,113.200,20.920
66,51.770,32.350
67,107.630,4.960
68,123.990,11.500
69,74.990,0.860
