Track Number,Accumulated distance [µm],Euclidean distance [µm]
1,42.790,8.560
2,32.300,1.290
3,9.970,0.270
4,243.560,26.620
5,102.360,6.700
6,57.930,16.530
7,25.390,0.990
8,119.910,51.450
9,9.060,0.310
10,188.900,7.200
11,75.590,22.090
12,279.650,0.370
13,1.490,1.490
14,109.560,40.810
15,196.510,49.520
16,22.800,3.750
17,32.590,10.850
18,82.180,27.080
19,124.850,2.600
20,157.380,15.110
21,71.220,18.360
22,51.860,11.140
23,29.430,3.670
