Track Number,Velocity [µm/min]
1,1.070
2,1.740
3,1.360
4,0.540
5,1.320
6,0.350
7,0.990
8,1.590
9,0.310
10,1.290
11,0.980
12,0.240
13,0.070
14,1.780
15,0.180
16,0.290
17,0.790
18,0.100
19,1.790
20,1.060
21,0.930
22,0.560
23,0.840
24,1.080
25,0.840
26,1.280
27,0.180
